Maktaba,Kitab_Id,Kitab_Title,Kitab_Message,Kitab_Date,Kitab_Size,Kitab_Link,Kitab_Group
1,5,ADDISON.WESLEY.A.TOUR.OF.C.PLUS.PLUS.2014.pdf,,2021-11-03 09:19:09+00:00,878998,https://t.me/Joutiya_Library/5,
1,6,ADDISON_WESLEY_ADAPTIVE_LEADERSHIP_ACCELERATING_ENTERPRISE_AGILITY.pdf,,2021-11-03 09:19:19+00:00,1890382,https://t.me/Joutiya_Library/6,
1,7,ADDISON.WESLEY.APACHE.CORDOVA.3.PROGRAMMING.2014.pdf,,2021-11-03 09:20:13+00:00,8711448,https://t.me/Joutiya_Library/7,
1,8,Addison_Wesley_The_Lean_Mindset_Ask_the_Right_Questions_2014.pdf,,2021-11-03 09:27:07+00:00,3498243,https://t.me/Joutiya_Library/8,
1,9,ADDISON_WESLEY_ARCHITECTING_COMPLEX_EVENT_PROCESSING_SOLUTIONS_WITH.pdf,,2021-11-03 09:27:07+00:00,4372237,https://t.me/Joutiya_Library/9,
1,10,ADDISON.WESLEY.C.PRIMER.PLUS.6TH.EDITION.2014.pdf,,2021-11-03 09:27:07+00:00,7210752,https://t.me/Joutiya_Library/10,
1,11,ADDISON.WESLEY.COMPUTER.AS.THEATRE.2ND.EDITION.2014.pdf,,2021-11-03 09:27:07+00:00,2766355,https://t.me/Joutiya_Library/11,
1,12,ADDISON.WESLEY.DATA.JUST.RIGHT.2014.pdf,,2021-11-03 09:27:07+00:00,2860396,https://t.me/Joutiya_Library/12,
1,13,ADDISON_WESLEY_DEVELOPMENT_WITH_THE_FORCE_COM_PLATFORM_3RD_EDITION.pdf,,2021-11-03 09:27:07+00:00,6184332,https://t.me/Joutiya_Library/13,
1,14,ADDISON.WESLEY.ESSENTIAL.SHAREPOINT.2013.3RD.EDITION.2014.pdf,,2021-11-03 09:27:07+00:00,18299128,https://t.me/Joutiya_Library/14,
1,15,ADDISON_WESLEY_GAME_PROGRAMMING_ALGORITHMS_AND_TECHNIQUES_2014.pdf,,2021-11-03 09:27:07+00:00,10500747,https://t.me/Joutiya_Library/15,
1,16,ADDISON.WESLEY.INSTITUTIONALIZATION.OF.UX.2ND.EDITION.2014.pdf,,2021-11-03 09:27:07+00:00,7925343,https://t.me/Joutiya_Library/16,
1,17,ADDISON_WESLEY_INTRODUCTION_TO_ANDROID_APPLICATION_DEVELOPMENT_4TH.pdf,,2021-11-03 09:27:07+00:00,29935538,https://t.me/Joutiya_Library/17,
1,18,ADDISON.WESLEY.IOS.COMPONENTS.AND.FRAMEWORKS.2014.pdf,,2021-11-03 09:31:30+00:00,8189462,https://t.me/Joutiya_Library/18,
1,19,ADDISON.WESLEY.IOS.DRAWING.PRACTICAL.UIKIT.SOLUTIONS.2014.pdf,,2021-11-03 09:31:31+00:00,6887545,https://t.me/Joutiya_Library/19,
1,20,ADDISON_WESLEY_JQUERY_AND_JAVASCRIPT_DEVELOPERS_PHRASEBOOK_2014.pdf,,2021-11-03 09:31:31+00:00,2841680,https://t.me/Joutiya_Library/20,
1,21,ADDISON.WESLEY.LEARNING.MOBILE.APP.DEVELOPMENT.2014.pdf,,2021-11-03 09:31:31+00:00,15976638,https://t.me/Joutiya_Library/21,
1,22,ADDISON.WESLEY.PRACTICAL.CASSANDRA.2014.pdf,,2021-11-03 09:31:31+00:00,5055942,https://t.me/Joutiya_Library/22,
1,23,ADDISON.WESLEY.QUALITY.CODE.2014.pdf,,2021-11-03 09:31:31+00:00,1601870,https://t.me/Joutiya_Library/23,
1,24,ADDISON.WESLEY.SYSML.DISTILLED.2014.pdf,,2021-11-03 09:31:31+00:00,6156052,https://t.me/Joutiya_Library/24,
1,25,ADDISON.WESLEY.THE.LEAN.MINDSET.2014.pdf,,2021-11-03 09:31:31+00:00,3503790,https://t.me/Joutiya_Library/25,
1,26,ADDISON_WESLEY_THE_TECHNICAL_AND_SOCIAL_HISTORY_OF_SOFTWARE_ENGINEERING.pdf,,2021-11-03 09:31:31+00:00,1641895,https://t.me/Joutiya_Library/26,
1,27,Addison_Wesley_A_Game_Design_Vocabulary_Exploring_the_Foundational.pdf,,2021-11-03 09:31:31+00:00,7819020,https://t.me/Joutiya_Library/27,
1,28,Addison-Wesley.A.Tour.of.C++.(2014).pdf,,2021-11-03 09:37:24+00:00,1239934,https://t.me/Joutiya_Library/28,
1,29,Addison-Wesley.Algorithms.Part.1.4th.(2014).pdf,,2021-11-03 09:37:24+00:00,25575335,https://t.me/Joutiya_Library/29,
1,30,Addison-Wesley.Algorithms.Part.2.4th.(2014).pdf,,2021-11-03 09:37:24+00:00,11186095,https://t.me/Joutiya_Library/30,
1,31,Addison_Wesley_Apache_Hadoop_YARN_Moving_beyond_MapReduce_and_Batch.pdf,,2021-11-03 09:37:24+00:00,6428100,https://t.me/Joutiya_Library/31,
1,32,Addison-Wesley.C.Primer.Plus.6th.(2014).pdf,,2021-11-03 09:37:24+00:00,7208345,https://t.me/Joutiya_Library/32,
1,33,Addison_Wesley_Data_Structures_and_Algorithm_Analysis_in_C++_4th.pdf,,2021-11-03 09:37:24+00:00,3019552,https://t.me/Joutiya_Library/33,
1,34,Addison_Wesley_Development_with_the_Force_com_Platform_Building.pdf,,2021-11-03 09:37:24+00:00,6176206,https://t.me/Joutiya_Library/34,
1,35,Addison_Wesley_Essential_Mobile_Interaction_Design_Perfecting_Interface.pdf,,2021-11-03 09:37:24+00:00,9706025,https://t.me/Joutiya_Library/35,
1,36,Addison_Wesley_Essential_SharePoint_2013_Practical_Guidance_for.pdf,,2021-11-03 09:37:24+00:00,18293425,https://t.me/Joutiya_Library/36,
1,37,Addison_Wesley_iOS_UICollectionView_The_Complete_Guide_2nd_2014.pdf,,2021-11-03 09:37:24+00:00,3420374,https://t.me/Joutiya_Library/37,
1,38,Addison-Wesley.Java.SE.8.for.the.Really.Impatient.(2014).pdf,,2021-11-03 09:47:04+00:00,6031694,https://t.me/Joutiya_Library/38,
1,39,Addison-Wesley.jQuery.and.JavaScript.Phrasebook.(2014).pdf,,2021-11-03 09:47:04+00:00,2839767,https://t.me/Joutiya_Library/39,
1,40,Addison_Wesley_Learning_iCloud_Data_Management_A_Hands_On_Guide.pdf,,2021-11-03 09:47:04+00:00,12056659,https://t.me/Joutiya_Library/40,
1,41,Addison_Wesley_Learning_Mobile_App_Development_A_Hands_on_Guide.pdf,,2021-11-03 09:47:04+00:00,15968526,https://t.me/Joutiya_Library/41,
1,42,Addison-Wesley.OpenGL.ES.3.0.Programming.Guide.2nd.(2014).pdf,,2021-11-03 09:47:04+00:00,23409092,https://t.me/Joutiya_Library/42,
1,43,Addison_Wesley_OpenGL_SuperBible_Comprehensive_Tutorial_and_Reference.pdf,,2021-11-03 09:47:04+00:00,93515214,https://t.me/Joutiya_Library/43,
1,44,Addison-Wesley.Professional.The.Rails.4.Way.(2014).pdf,,2021-11-03 09:47:04+00:00,3936202,https://t.me/Joutiya_Library/44,
1,45,Addison-Wesley.Programming.in.Objective-C.6th.(2014).pdf,,2021-11-03 09:47:04+00:00,4370585,https://t.me/Joutiya_Library/45,
1,46,Addison_Wesley_Quality_Code_Software_Testing_Principles_Practices.pdf,,2021-11-03 09:47:04+00:00,3668016,https://t.me/Joutiya_Library/46,
1,47,Addison_Wesley_Scrum_Shortcuts_without_Cutting_Corners_Agile_Tactics.pdf,,2021-11-03 09:47:04+00:00,3389357,https://t.me/Joutiya_Library/47,
1,48,Addison_Wesley_Starting_Out_with_Visual_Basic_2012_6th_2014.pdf,,2021-11-03 09:49:27+00:00,19306655,https://t.me/Joutiya_Library/48,
1,49,Addison_Wesley_The_Agile_Culture_Leading_through_Trust_and_Ownership.pdf,,2021-11-03 09:49:27+00:00,2005837,https://t.me/Joutiya_Library/49,
1,50,Addison_Wesley_The_Core_iOS_Developer's_Cookbook_5th_2014.pdf,,2021-11-03 09:49:27+00:00,18144016,https://t.me/Joutiya_Library/50,
1,51,Accelerated DOM Scripting with Ajax APIs and Libraries.pdf,,2021-11-03 10:21:42+00:00,3561868,https://t.me/Joutiya_Library/51,
1,52,A Complete Guide to PivotTables A Visual Approach.chm,,2021-11-03 10:21:42+00:00,29188281,https://t.me/Joutiya_Library/52,
1,53,A Programmer's Guide to Jini Technology.chm,,2021-11-03 10:21:42+00:00,3127354,https://t.me/Joutiya_Library/53,
1,54,A Programmer's Introduction to CSharp 2.0 3rd Edition.pdf,,2021-11-03 10:21:42+00:00,3085135,https://t.me/Joutiya_Library/54,
1,55,A Programmer's Introduction to CSharp.pdf,,2021-11-03 10:21:42+00:00,1097359,https://t.me/Joutiya_Library/55,
1,56,A Programmer's Introduction to PHP 4.0.pdf,,2021-11-03 10:21:42+00:00,4414826,https://t.me/Joutiya_Library/56,
1,57,A Tester's Guide to .NET Programming.pdf,,2021-11-03 10:21:42+00:00,20615714,https://t.me/Joutiya_Library/57,
1,58,Accelerated CSharp 2005.pdf,,2021-11-03 10:21:42+00:00,2094413,https://t.me/Joutiya_Library/58,
1,59,Accelerated CSharp 2008.pdf,,2021-11-03 10:21:42+00:00,6314672,https://t.me/Joutiya_Library/59,
1,60,Accelerated CSharp 2010.pdf,,2021-11-03 10:21:42+00:00,7176766,https://t.me/Joutiya_Library/60,
1,61,Advanced .NET Remoting 2nd Edition.pdf,,2021-11-03 10:27:40+00:00,7136202,https://t.me/Joutiya_Library/61,
1,62,Accelerated GWT.pdf,,2021-11-03 10:27:41+00:00,4031715,https://t.me/Joutiya_Library/62,
1,63,Accelerated Silverlight 2.pdf,,2021-11-03 10:27:41+00:00,4560086,https://t.me/Joutiya_Library/63,
1,64,Accelerated Silverlight 3.pdf,,2021-11-03 10:27:41+00:00,10497770,https://t.me/Joutiya_Library/64,
1,65,Accelerated SQL Server 2008.pdf,,2021-11-03 10:27:41+00:00,16202605,https://t.me/Joutiya_Library/65,
1,66,Accelerated VB 2005.pdf,,2021-11-03 10:27:41+00:00,2986734,https://t.me/Joutiya_Library/66,
1,67,Accelerated VB 2008.pdf,,2021-11-03 10:27:41+00:00,4108232,https://t.me/Joutiya_Library/67,
1,68,Active Directory Field Guide.pdf,,2021-11-03 10:27:41+00:00,3667752,https://t.me/Joutiya_Library/68,
1,69,ADO Examples and Best Practices.chm,,2021-11-03 10:27:41+00:00,4055692,https://t.me/Joutiya_Library/69,
1,70,Adobe Coldfusion Anthology.pdf,,2021-11-03 10:27:41+00:00,32337862,https://t.me/Joutiya_Library/70,
1,71,Architecting Web Services.chm,,2021-11-03 10:34:14+00:00,9393026,https://t.me/Joutiya_Library/71,
1,72,Advanced BlackBerry Development.pdf,,2021-11-03 10:34:14+00:00,5271254,https://t.me/Joutiya_Library/72,
1,73,Advanced NXT The Davinci Inventions Book.pdf,,2021-11-03 10:34:14+00:00,26620775,https://t.me/Joutiya_Library/73,
1,74,Advanced SharePoint Services Solutions.pdf,,2021-11-03 10:34:14+00:00,4811083,https://t.me/Joutiya_Library/74,
1,75,Advanced Transact-SQL for SQL Server 2000.pdf,,2021-11-03 10:34:14+00:00,3219299,https://t.me/Joutiya_Library/75,
1,76,Advanced.C.and.C++.Compiling.(2014).pdf,,2021-11-03 10:34:14+00:00,30480249,https://t.me/Joutiya_Library/76,
1,77,Advanced_Topics_in_Java_Core_Concepts_in_Data_Structures_2014.pdf,,2021-11-03 10:34:14+00:00,7635359,https://t.me/Joutiya_Library/77,
1,78,Agile_Development_with_ICONIX_Process_People_Process_and_Pragmatism.chm,,2021-11-03 10:34:15+00:00,9965042,https://t.me/Joutiya_Library/78,
1,79,Ajax and REST Recipes.pdf,,2021-11-03 10:34:15+00:00,19227162,https://t.me/Joutiya_Library/79,
1,80,Ajax Patterns and Best Practices.pdf,,2021-11-03 10:34:15+00:00,16445369,https://t.me/Joutiya_Library/80,
1,81,Android Essentials.pdf,,2021-11-03 10:38:14+00:00,1144255,https://t.me/Joutiya_Library/81,
1,82,Android for Work.pdf,,2021-11-03 10:38:14+00:00,8744174,https://t.me/Joutiya_Library/82,
1,83,Android.Best.Practices.(2014).pdf,,2021-11-03 10:38:14+00:00,7343065,https://t.me/Joutiya_Library/83,
1,84,Android.Recipes.A.Problem-Solution.Approach.3rd.(2014).pdf,,2021-11-03 10:38:14+00:00,16395932,https://t.me/Joutiya_Library/84,
1,85,Apache Jakarta-Tomcat.pdf,,2021-11-03 10:38:14+00:00,1872617,https://t.me/Joutiya_Library/85,
1,86,AppleScript 2nd Edition.pdf,,2021-11-03 10:38:14+00:00,16602243,https://t.me/Joutiya_Library/86,
1,87,Applied .NET Attributes.chm,,2021-11-03 10:38:14+00:00,4584718,https://t.me/Joutiya_Library/87,
1,88,Applied ADO.NET Building Data-Driven Solutions.chm,,2021-11-03 10:38:14+00:00,16039120,https://t.me/Joutiya_Library/88,
1,89,Applied ADO.NET Building Data-Driven Solutions.pdf,,2021-11-03 10:38:14+00:00,15448122,https://t.me/Joutiya_Library/89,
1,90,Applied Mathematics for Database Professionals.pdf,,2021-11-03 10:38:14+00:00,2715502,https://t.me/Joutiya_Library/90,
1,91,Argus_Developer_in_Practice_Real_Estate_Development_Modeling_in.pdf,,2021-11-04 12:04:20+00:00,21207170,https://t.me/Joutiya_Library/91,
1,92,ASP.NET 1.1 Solutions Toolkit.pdf,,2021-11-04 12:04:20+00:00,4465096,https://t.me/Joutiya_Library/92,
1,93,ASP.NET 2.0 Revealed.chm,,2021-11-04 12:04:20+00:00,12359786,https://t.me/Joutiya_Library/93,
1,94,ASP.NET MVC Framework Preview.pdf,,2021-11-04 12:04:20+00:00,1720779,https://t.me/Joutiya_Library/94,
1,95,ASP.NET Web Development with Macromedia Dreamweaver MX 2004.chm,,2021-11-04 12:04:20+00:00,10429562,https://t.me/Joutiya_Library/95,
1,96,ASP.NET Web Development with Macromedia Dreamweaver MX 2004.pdf,,2021-11-04 12:04:20+00:00,10324160,https://t.me/Joutiya_Library/96,
1,97,ATL Server High Performance C++ on .NET.chm,,2021-11-04 12:04:20+00:00,3338603,https://t.me/Joutiya_Library/97,
1,98,AutoCAD 2004 VBA A Programmer's Reference.chm,,2021-11-04 12:04:20+00:00,9383502,https://t.me/Joutiya_Library/98,
1,99,AutoCAD 2006 VBA A Programmer's Reference.pdf,,2021-11-04 12:04:20+00:00,6214889,https://t.me/Joutiya_Library/99,
1,100,Automating Linux and Unix System Administration 2nd Edition.pdf,,2021-11-04 12:04:20+00:00,1797187,https://t.me/Joutiya_Library/100,
1,101,Beginning.Android.3D.Game.Development.(2014).pdf,,2021-11-04 12:08:34+00:00,8784480,https://t.me/Joutiya_Library/101,
1,102,Beginning.Backbone.js.(2014).pdf,,2021-11-04 12:08:34+00:00,5831986,https://t.me/Joutiya_Library/102,
1,103,Beginning.COBOL.for.Programmers.(2014).pdf,,2021-11-04 12:08:34+00:00,17496232,https://t.me/Joutiya_Library/103,
1,104,Beginning.Haskell.A.Project-Based.Approach.(2014).pdf,,2021-11-04 12:08:34+00:00,4726893,https://t.me/Joutiya_Library/104,
1,105,Beginning.Hibernate.3rd.(2014).pdf,,2021-11-04 12:08:34+00:00,2395251,https://t.me/Joutiya_Library/105,
1,106,Beginning.HTML5.Games.with.CreateJS.(2014).pdf,,2021-11-04 12:08:34+00:00,8909910,https://t.me/Joutiya_Library/106,
1,107,Beginning.iOS.7.Development.Exploring.the.iOS.SDK.(2014).pdf,,2021-11-04 12:08:34+00:00,21131496,https://t.me/Joutiya_Library/107,
1,108,Beginning.iOS.Cloud.and.Database.Development.(2014).pdf,,2021-11-04 12:08:34+00:00,3531058,https://t.me/Joutiya_Library/108,
1,109,Beginning.LEGO.MINDSTORMS.EV3.(2014).pdf,,2021-11-04 12:08:34+00:00,25157170,https://t.me/Joutiya_Library/109,
1,110,Beginning.Oracle.SQL.For.Oracle.Database.12c.3rd.(2014).pdf,,2021-11-04 12:08:34+00:00,8557230,https://t.me/Joutiya_Library/110,
1,111,Beginning.PowerShell.for.SharePoint.2013.(2014).pdf,,2021-11-04 12:15:02+00:00,17667942,https://t.me/Joutiya_Library/111,
1,112,Beginning.Xcode.(2014).pdf,,2021-11-04 12:15:02+00:00,30213180,https://t.me/Joutiya_Library/112,
1,113,Beginning .NET Game Programming in VB.NET.pdf,,2021-11-04 12:15:02+00:00,8155008,https://t.me/Joutiya_Library/113,
1,114,Beginning Ajax with PHP.pdf,,2021-11-04 12:15:02+00:00,4070646,https://t.me/Joutiya_Library/114,
1,115,Beginning Android.pdf,,2021-11-04 12:15:02+00:00,15223712,https://t.me/Joutiya_Library/115,
1,116,Beginning Android 2.pdf,,2021-11-04 12:15:02+00:00,10609468,https://t.me/Joutiya_Library/116,
1,117,Beginning Apache Struts.pdf,,2021-11-04 12:15:02+00:00,11676241,https://t.me/Joutiya_Library/117,
1,118,Beginning Arduino.pdf,,2021-11-04 12:15:02+00:00,16621341,https://t.me/Joutiya_Library/118,
1,119,Beginning ASP.NET 2.0 Databases.pdf,,2021-11-04 12:15:02+00:00,18888782,https://t.me/Joutiya_Library/119,
1,120,Beginning ASP.NET 2.0 E-Commerce in CSharp 2005.pdf,,2021-11-04 12:15:02+00:00,21635576,https://t.me/Joutiya_Library/120,
1,121,Beginning ASP.NET 2.0 in CSharp.pdf,,2021-11-04 12:23:07+00:00,40142520,https://t.me/Joutiya_Library/121,
1,122,Beginning ASP.NET 2.0 in VB 2005.pdf,,2021-11-04 12:23:07+00:00,18757513,https://t.me/Joutiya_Library/122,
1,123,Beginning ASP.NET 3.5 in CSharp 2008 2nd Edition.pdf,,2021-11-04 12:23:07+00:00,26523575,https://t.me/Joutiya_Library/123,
1,124,Beginning ASP.NET 3.5 in VB 2008 2nd Edition.pdf,,2021-11-04 12:23:07+00:00,37101723,https://t.me/Joutiya_Library/124,
1,125,Beginning ASP.NET 4 in CSharp 2010.pdf,,2021-11-04 12:23:07+00:00,16795196,https://t.me/Joutiya_Library/125,
1,126,Beginning ASP.NET 4 in VB 2010.pdf,,2021-11-04 12:23:07+00:00,17315391,https://t.me/Joutiya_Library/126,
1,127,Beginning ASP.NET E-Commerce in CSharp.pdf,,2021-11-04 12:23:07+00:00,17418395,https://t.me/Joutiya_Library/127,
1,128,Beginning BlackBerry Development.pdf,,2021-11-04 12:23:07+00:00,8878424,https://t.me/Joutiya_Library/128,
1,129,Beginning Blender.pdf,,2021-11-04 12:23:07+00:00,20498452,https://t.me/Joutiya_Library/129,
1,130,Beginning C 4th Edition.pdf,,2021-11-04 12:23:07+00:00,13911066,https://t.me/Joutiya_Library/130,
1,131,Beginning CakePHP.pdf,,2021-11-04 12:27:58+00:00,3959850,https://t.me/Joutiya_Library/131,
1,132,Beginning CouchDB.pdf,,2021-11-04 12:27:58+00:00,5978925,https://t.me/Joutiya_Library/132,
1,133,Beginning CSharp 2005 Databases.pdf,,2021-11-04 12:27:58+00:00,13781507,https://t.me/Joutiya_Library/133,
1,134,Beginning CSharp 2008 2nd Edition.pdf,,2021-11-04 12:27:59+00:00,7716205,https://t.me/Joutiya_Library/134,
